episode_hash,lab,task,embodiment,duration_hours,zarr_mp4_path,scene,objects
2026-05-02-17-50-37-082243,scale,flagship_folding_clothes,human_bimanual,0.003277777777777778,s3://rldb/processed_v3/scale/2026-05-02-17-50-37-082243.mp4,unknown,
2026-05-02-17-39-37-716442,scale,flagship_folding_clothes,human_bimanual,0.0018333333333333333,s3://rldb/processed_v3/scale/2026-05-02-17-39-37-716442.mp4,unknown,
2026-05-02-04-29-02-133525,scale,freeform_tidy_up_kitchen,human_bimanual,0.01175925925925926,s3://rldb/processed_v3/scale/2026-05-02-04-29-02-133525.mp4,unknown,
2026-05-01-07-41-19-578360,scale,freeform_tidy_up_kitchen,human_bimanual,0.0071574074074074075,s3://rldb/processed_v3/scale/2026-05-01-07-41-19-578360.mp4,unknown,
2026-05-02-17-49-57-852614,scale,flagship_folding_clothes,human_bimanual,0.002046296296296296,s3://rldb/processed_v3/scale/2026-05-02-17-49-57-852614.mp4,unknown,
2026-05-02-07-45-27-456791,scale,freeform_unpack_grocery_bag,human_bimanual,0.08106481481481481,s3://rldb/processed_v3/scale/2026-05-02-07-45-27-456791.mp4,unknown,
2026-05-01-16-49-04-794324,scale,freeform_pack_a_suitcase_for_a_trip,human_bimanual,0.0069722222222222225,s3://rldb/processed_v3/scale/2026-05-01-16-49-04-794324.mp4,unknown,
2026-05-01-22-28-08-607954,scale,freeform_folding_clothes,human_bimanual,0.008,s3://rldb/processed_v3/scale/2026-05-01-22-28-08-607954.mp4,unknown,
2026-05-02-04-07-01-942699,scale,freeform_unload_dishwasher,human_bimanual,0.005842592592592593,s3://rldb/processed_v3/scale/2026-05-02-04-07-01-942699.mp4,unknown,
2026-05-02-18-16-24-752472,scale,flagship_folding_clothes,human_bimanual,0.0035833333333333333,s3://rldb/processed_v3/scale/2026-05-02-18-16-24-752472.mp4,unknown,
2026-05-02-18-31-27-429615,scale,flagship_folding_clothes,human_bimanual,0.0021018518518518517,s3://rldb/processed_v3/scale/2026-05-02-18-31-27-429615.mp4,unknown,
2026-05-01-06-56-09-226470,scale,flagship_sort_utensils,human_right_arm,0.007657407407407407,s3://rldb/processed_v3/scale/2026-05-01-06-56-09-226470.mp4,unknown,
2026-05-02-07-52-49-652089,scale,freeform_pack_a_suitcase_for_a_trip,human_bimanual,0.006722222222222222,s3://rldb/processed_v3/scale/2026-05-02-07-52-49-652089.mp4,unknown,
2026-05-02-18-37-18-129801,scale,freeform_place_rubberbands_in_ziploc,human_bimanual,0.002351851851851852,s3://rldb/processed_v3/scale/2026-05-02-18-37-18-129801.mp4,unknown,
2026-05-02-16-56-30-171672,scale,freeform_folding_clothes,human_bimanual,0.0021759259259259258,s3://rldb/processed_v3/scale/2026-05-02-16-56-30-171672.mp4,unknown,
2026-05-02-17-46-19-267999,scale,flagship_put_object_in_container,human_right_arm,0.0015277777777777779,s3://rldb/processed_v3/scale/2026-05-02-17-46-19-267999.mp4,unknown,
2026-05-02-07-41-14-317193,scale,freeform_portion_out_snacks_by_scooping,human_bimanual,0.017287037037037038,s3://rldb/processed_v3/scale/2026-05-02-07-41-14-317193.mp4,unknown,
2026-05-02-19-13-01-423822,scale,flagship_put_cup_on_saucer,human_bimanual,0.0019166666666666668,s3://rldb/processed_v3/scale/2026-05-02-19-13-01-423822.mp4,unknown,
2026-05-02-01-03-45-719717,scale,freeform_placing_utensils_into_a_drawer,human_bimanual,0.004953703703703703,s3://rldb/processed_v3/scale/2026-05-02-01-03-45-719717.mp4,unknown,
2026-05-02-18-21-15-816829,scale,freeform_bagging_groceries,human_bimanual,0.0022777777777777774,s3://rldb/processed_v3/scale/2026-05-02-18-21-15-816829.mp4,unknown,
2026-05-01-10-50-50-255179,scale,freeform_do_dishes,human_bimanual,0.004398148148148148,s3://rldb/processed_v3/scale/2026-05-01-10-50-50-255179.mp4,unknown,
2026-05-02-03-53-30-156164,scale,freeform_hang_shirt_on_hanger_and_place_on_rack,human_bimanual,0.02137962962962963,s3://rldb/processed_v3/scale/2026-05-02-03-53-30-156164.mp4,unknown,
2026-05-01-10-12-22-836997,scale,freeform_folding_clothes,human_bimanual,0.006861111111111111,s3://rldb/processed_v3/scale/2026-05-01-10-12-22-836997.mp4,unknown,
2026-05-02-04-53-23-742077,scale,freeform_hang_shirt_on_hanger_and_place_on_rack,human_bimanual,0.04086111111111111,s3://rldb/processed_v3/scale/2026-05-02-04-53-23-742077.mp4,unknown,
2026-05-02-17-00-37-483184,scale,freeform_put_object_in_container,human_bimanual,0.0025648148148148145,s3://rldb/processed_v3/scale/2026-05-02-17-00-37-483184.mp4,unknown,
2026-05-02-02-16-55-137820,scale,freeform_folding_clothes,human_bimanual,0.007305555555555556,s3://rldb/processed_v3/scale/2026-05-02-02-16-55-137820.mp4,unknown,
2026-05-02-17-46-49-289139,scale,flagship_put_object_in_container,human_right_arm,0.0015648148148148149,s3://rldb/processed_v3/scale/2026-05-02-17-46-49-289139.mp4,unknown,
2026-05-02-04-59-24-600367,scale,freeform_unpack_grocery_bag,human_bimanual,0.00537962962962963,s3://rldb/processed_v3/scale/2026-05-02-04-59-24-600367.mp4,unknown,
2026-05-02-16-23-25-831227,scale,freeform_wipe_mirror_with_spray,human_bimanual,0.002824074074074074,s3://rldb/processed_v3/scale/2026-05-02-16-23-25-831227.mp4,unknown,
2026-05-02-18-34-20-376420,scale,flagship_folding_clothes,human_bimanual,0.0025185185185185185,s3://rldb/processed_v3/scale/2026-05-02-18-34-20-376420.mp4,unknown,
2026-05-02-18-08-13-645336,scale,freeform_towel_folding,human_bimanual,0.0027500000000000003,s3://rldb/processed_v3/scale/2026-05-02-18-08-13-645336.mp4,unknown,
2026-05-01-13-19-28-638308,scale,freeform_do_dishes,human_bimanual,0.007388888888888889,s3://rldb/processed_v3/scale/2026-05-01-13-19-28-638308.mp4,unknown,
2026-05-01-22-51-15-824381,scale,freeform_folding_clothes,human_bimanual,0.030240740740740738,s3://rldb/processed_v3/scale/2026-05-01-22-51-15-824381.mp4,unknown,
2026-05-01-11-31-30-615100,scale,flagship_folding_clothes,human_bimanual,0.004657407407407407,s3://rldb/processed_v3/scale/2026-05-01-11-31-30-615100.mp4,unknown,
2026-05-02-03-23-55-540838,scale,flagship_folding_clothes,human_bimanual,0.005324074074074075,s3://rldb/processed_v3/scale/2026-05-02-03-23-55-540838.mp4,unknown,
2026-05-02-19-13-13-298765,scale,flagship_put_cup_on_saucer,human_bimanual,0.001972222222222222,s3://rldb/processed_v3/scale/2026-05-02-19-13-13-298765.mp4,unknown,
2026-05-02-16-29-50-715686,scale,freeform_unpack_grocery_bag,human_bimanual,0.003111111111111111,s3://rldb/processed_v3/scale/2026-05-02-16-29-50-715686.mp4,unknown,
2026-05-02-06-55-38-658638,scale,freeform_load_dishwasher,human_bimanual,0.030925925925925926,s3://rldb/processed_v3/scale/2026-05-02-06-55-38-658638.mp4,unknown,
2026-05-02-18-11-55-994628,scale,flagship_put_object_in_container,human_right_arm,0.0030092592592592593,s3://rldb/processed_v3/scale/2026-05-02-18-11-55-994628.mp4,unknown,
2026-05-02-06-44-12-271899,scale,freeform_wipe_mirror_with_spray,human_bimanual,0.006083333333333333,s3://rldb/processed_v3/scale/2026-05-02-06-44-12-271899.mp4,unknown,
2026-05-02-04-59-18-812532,scale,freeform_wipe_mirror_with_spray,human_bimanual,0.00998148148148148,s3://rldb/processed_v3/scale/2026-05-02-04-59-18-812532.mp4,unknown,
2026-05-02-17-50-28-985183,scale,freeform_folding_clothes,human_bimanual,0.001824074074074074,s3://rldb/processed_v3/scale/2026-05-02-17-50-28-985183.mp4,unknown,
2026-05-02-17-46-13-296993,scale,flagship_put_object_in_container,human_right_arm,0.0018148148148148147,s3://rldb/processed_v3/scale/2026-05-02-17-46-13-296993.mp4,unknown,
2026-05-02-04-47-07-086727,scale,freeform_unload_dishwasher,human_bimanual,0.016777777777777777,s3://rldb/processed_v3/scale/2026-05-02-04-47-07-086727.mp4,unknown,
2026-05-02-16-25-17-307409,scale,freeform_folding_clothes,human_bimanual,0.0016111111111111111,s3://rldb/processed_v3/scale/2026-05-02-16-25-17-307409.mp4,unknown,
2026-05-01-07-12-35-018036,scale,flagship_sort_utensils,human_right_arm,0.006935185185185185,s3://rldb/processed_v3/scale/2026-05-01-07-12-35-018036.mp4,unknown,
2026-05-02-19-07-14-958403,scale,freeform_portion_out_snacks_by_scooping,human_bimanual,0.0015833333333333333,s3://rldb/processed_v3/scale/2026-05-02-19-07-14-958403.mp4,unknown,
2026-05-02-06-24-57-676028,scale,freeform_clean_up_the_dishes,human_bimanual,0.005407407407407407,s3://rldb/processed_v3/scale/2026-05-02-06-24-57-676028.mp4,unknown,
